,,,,,,,,,,,,,,,,,,
590,"Baton Rouge, LA",·,·,X,X,·,X,X,X,X,X,·,X,X,·,·,·,·
610,"Battle Creek, MI",·,·,·,·,·,·,·,·,·,X,X,X,X,·,·,·,·
630,"Bay City, MI",·,·,·,·,·,·,·,·,·,X,X,X,X,X,·,·,·
640,"Bayamon, PR",·,·,·,·,·,·,·,·,·,·,·,·,·,·,·,·,·
650,"Bayonne, NJ",·,·,·,·,·,·,·,·,·,X,X,X,X,·,·,·,·
651,"Beacon, NY",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
652,"Beatrice, NE",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
660,"Belleville, IL",·,·,·,·,·,·,·,·,·,X,·,X,X,X,·,·,·
670,"Beaumont, TX",X,X,X,X,·,X,·,X,X,X,X,X,·,·,·,·,·
671,"Beaver Falls, PA",·,·,·,·,·,·,·,·,·,X,·,X,X,·,·,·,·
672,"Bedford, IN",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
673,"Bellaire, OH",·,·,·,·,·,·,·,·,·,X,·,X,·,·,·,·,·
680,"Bellevue, WA",·,·,X,X,·,·,·,·,·,·,·,·,·,·,·,·,·
690,"Bellingham, WA",·,·,·,·,·,·,·,·,·,X,X,X,·,·,·,·,·
695,"Belvedere, CA",·,·,·,·,·,·,·,·,·,·,·,·,·,·,·,·,·
700,"Belleville, NJ",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
701,"Bellevue, PA",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
702,"Belmont, OH",·,·,·,·,·,·,·,·,·,·,·,X,·,·,·,·,·
703,"Belmont, MA",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
704,"Beloit, WI",·,·,·,·,·,·,·,·,·,X,·,X,X,·,·,·,·
Code,Label,2021,2016,2011,2006,2000,1990,1980,1950,1940,1930,1920,1910,1900,1880,1870,1860,1850
,,acs,acs,acs,acs,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1%+
705,"Bennington, VT",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
706,"Benton Harbor, MI",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
710,"Berkeley, CA",·,·,·,·,·,·,·,·,·,X,X,X,X,·,·,·,·
711,"Berlin, NH",·,·,·,·,·,·,·,·,·,X,·,X,·,·,·,·,·
712,"Berwick, PA",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
720,"Berwyn, IL",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
721,"Bessemer, AL",·,·,·,·,·,·,·,·,·,X,·,X,·,·,·,·,·
730,"Bethlehem, PA",·,·,·,·,·,·,·,·,·,X,X,X,·,·,·,·,·
740,"Biddeford, ME",·,·,·,·,·,·,·,·,·,X,·,X,X,X,X,·,·
741,"Big Spring, TX",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
742,"Billings, MT",X,X,·,·,·,·,·,·,·,X,·,X,·,·,·,·,·
743,"Biloxi, MS",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
750,"Binghamton, NY",·,·,·,·,·,·,·,·,·,X,X,X,X,X,X,·,·
760,"Beverly, MA",·,·,·,·,·,·,·,·,·,X,·,X,X,·,·,·,·
761,"Beverly Hills, CA",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
770,"Birmingham, AL",·,·,·,·,·,·,X,X,X,X,X,X,X,·,·,·,·
771,"Birmingham, CT",·,·,·,·,·,·,·,·,·,·,·,·,·,X,·,·,·
772,"Bismarck, ND",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
780,"Bloomfield, NJ",·,·,·,·,·,·,·,·,·,X,·,X,·,·,·,·,·
790,"Bloomington, IL",·,·,·,·,·,·,·,·,·,X,X,X,X,X,·,·,·
791,"Bloomington, IN",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
792,"Blue Island, IL",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
793,"Bluefield, WV",·,·,·,·,·,·,·,·,·,X,·,X,·,·,·,·,·
794,"Blytheville, AR",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
795,"Bogalusa, LA",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
Code,Label,2021,2016,2011,2006,2000,1990,1980,1950,1940,1930,1920,1910,1900,1880,1870,1860,1850
,,acs,acs,acs,acs,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1%+
800,"Boise, ID",·,·,X,X,·,·,·,·,·,X,·,X,·,·,·,·,·
801,"Boone, IA",·,·,·,·,·,·,·,·,·,X,·,X,·,·,·,·,·
810,"Boston, MA",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
811,"Boulder, CO",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
812,"Bowling Green, KY",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
813,"Braddock, PA",·,·,·,·,·,·,·,·,·,X,·,X,X,·,·,·,·
814,"Braden, WA",·,·,·,·,·,·,·,·,·,·,·,X,·,·,·,·,·
815,"Bradford, PA",·,·,·,·,·,·,·,·,·,X,·,X,X,·,·,·,·
816,"Brainerd, MN",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
817,"Braintree, MA",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
818,"Brawley, CA",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
819,"Bremerton, WA",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
830,"Bridgeport, CT",X,X,X,X,·,X,X,X,X,X,X,X,X,X,X,X,·
831,"Bridgeton, NJ",·,·,·,·,·,·,·,·,·,X,·,X,X,·,·,·,·
832,"Bristol, CT",·,·,·,·,·,·,·,·,·,X,·,X,·,·,·,·,·
833,"Bristol, PA",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
834,"Bristol, VA",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
835,"Bristol, TN",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
837,"Bristol, RI",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
850,"Brockton, MA",·,·,·,·,·,·,·,·,·,X,X,X,X,X,·,·,·
851,"Brookfield, IL",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
870,"Brookline, MA",·,·,·,·,·,·,·,·,·,X,·,X,X,·,·,·,·
,"Brooklyn, NY (See NYC)",,,,,,,,,,,,,,,,,
880,"Brownsville, TX",·,·,X,X,·,X,·,·,·,X,·,X,·,·,·,·,·
881,"Brownwood, TX",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
Code,Label,2021,2016,2011,2006,2000,1990,1980,1950,1940,1930,1920,1910,1900,1880,1870,1860,1850
,,acs,acs,acs,acs,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1%+
882,"Brunswick, GA",·,·,·,·,·,·,·,·,·,X,·,X,·,·,·,·,·
883,"Bucyrus, OH",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
890,"Buffalo, NY",X,X,X,X,·,X,X,X,X,X,X,X,X,X,X,X,X
900,"Burlington, IA",·,·,·,·,·,·,·,·,·,X,·,X,X,X,X,·,·
905,"Burlington, VT",·,·,·,·,·,·,·,·,·,X,·,X,X,X,X,·,·
906,"Burlington, NJ",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
907,"Bushkill, PA",·,·,·,·,·,·,·,·,·,·,·,·,·,·,X,·,·
910,"Butte, MT",·,·,·,·,·,·,·,·,·,X,X,X,X,·,·,·,·
911,"Butler, PA",·,·,·,·,·,·,·,·,·,X,·,X,X,·,·,·,·
920,"Burbank, CA",·,·,X,X,·,·,·,·,·,X,·,·,·,·,·,·,·
921,"Burlingame, CA",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
926,"Cairo, IL",·,·,·,·,·,·,·,·,·,X,·,X,X,·,·,·,·
927,"Calumet City, IL",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
930,"Cambridge, MA",X,X,X,X,·,·,·,·,·,X,X,X,X,X,X,X,X
931,"Cambridge, OH",·,·,·,·,·,·,·,·,·,X,·,X,·,·,·,·,·
950,"Camden, NJ",·,·,·,·,·,·,·,·,·,X,X,X,X,X,X,X,·
951,"Campbell, OH",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
952,"Canonsburg, PA",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
970,"Camden, NY",·,·,·,·,·,·,·,·,·,·,·,·,·,·,·,·,·
990,"Canton, OH",·,·,·,·,·,·,·,X,X,X,X,X,X,X,·,·,·
991,"Canton, IL",·,·,·,·,·,·,·,·,·,X,·,X,·,·,·,·,·
992,"Cape Girardeau, MO",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
993,"Carbondale, PA",·,·,·,·,·,·,·,·,·,X,·,X,X,·,·,·,·
994,"Carlisle, PA",·,·,·,·,·,·,·,·,·,X,·,X,·,·,·,·,·
995,"Carnegie, PA",·,·,·,·,·,·,·,·,·,X,·,X,·,·,·,·,·
Code,Label,2021,2016,2011,2006,2000,1990,1980,1950,1940,1930,1920,1910,1900,1880,1870,1860,1850
,,acs,acs,acs,acs,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1%+
996,"Carrick, PA",·,·,·,·,·,·,·,·,·,·,·,·,·,·,·,·,·
997,"Carteret, NJ",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
998,"Carthage, MO",·,·,·,·,·,·,·,·,·,·,·,·,·,·,·,·,·
999,"Casper, WY",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
1000,"Cape Coral, FL",·,·,X,X,·,·,·,·,·,·,·,·,·,·,·,·,·
1010,"Cedar Rapids, IA",·,·,·,·,·,·,·,·,·,X,X,X,X,X,·,·,·
1020,"Central Falls, RI",·,·,·,·,·,·,·,·,·,X,·,X,X,·,·,·,·
1021,"Centralia, IL",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
1023,"Chambersburg, PA",·,·,·,·,·,·,·,·,·,X,·,X,·,·,·,·,·
1024,"Champaign, IL",·,·,·,·,·,·,·,·,·,X,·,X,·,·,·,·,·
1025,"Chanute, KS",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
1026,"Charleroi, PA",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
1027,"Chandler, AZ",·,·,X,X,·,·,·,·,·,·,·,·,·,·,·,·,·
1030,"Charlestown, MA",·,·,·,·,·,·,·,·,·,·,·,·,·,·,X,X,X
1050,"Charleston, SC",·,·,·,·,·,·,·,·,·,X,X,X,X,X,X,X,X
1060,"Carolina, PR",·,·,·,·,·,·,·,·,·,·,·,·,·,·,·,·,·
1070,"Charleston, WV",·,·,·,·,·,·,·,X,X,X,X,X,X,·,·,·,·
1090,"Charlotte, NC",·,·,X,X,·,·,·,X,X,X,X,X,X,·,·,·,·
1091,"Charlottesville, VA",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
1110,"Chattanooga, TN",·,·,X,X,·,X,X,X,X,X,X,X,X,X,·,·,·
1130,"Chelsea, MA",·,·,·,·,·,·,·,·,·,X,X,X,X,X,X,X,·
1140,"Cheltenham, PA",·,·,·,·,·,·,·,·,·,·,·,·,·,·,·,·,·
1150,"Chesapeake, VA",X,X,X,X,·,·,·,·,·,·,·,·,·,·,·,·,·
1170,"Chester, PA",·,·,·,·,·,·,·,·,·,X,X,X,X,X,·,·,·
1171,"Cheyenne, WY",·,·,·,·,·,·,·,·,·,X,·,X,X,·,·,·,·
Code,Label,2021,2016,2011,2006,2000,1990,1980,1950,1940,1930,1920,1910,1900,1880,1870,1860,1850
,,acs,acs,acs,acs,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1%+
1190,"Chicago, IL",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
